level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1520	848	-1	
2	1	1	0	0	0	48	30	1440	740	-1	
3	1	1	1	0	0	48	30	1440	740	-1	
4	1	1	1	1	0	48	30	530	48	-1	
5	1	1	1	1	1	48	30	200	48	95.25	Горячие
5	1	1	1	1	2	262	30	190	48	93.75	клавиши
5	1	1	1	1	3	466	30	12	48	90	/
5	1	1	1	1	4	492	30	86	48	96	Hotkeys
4	1	1	1	2	0	56	136	1100	40	-1	
5	1	1	1	2	1	56	136	264	40	91.5	Cmd+Shift+4
5	1	1	1	2	2	600	138	130	36	95	Снимок
5	1	1	1	2	3	744	138	160	36	94	области
5	1	1	1	2	4	918	138	138	36	96	экрана
4	1	1	1	3	0	56	204	800	40	-1	
5	1	1	1	3	1	56	204	216	40	89	Cmd+Space
5	1	1	1	3	2	300	206	4	30	-1	 
5	1	1	1	3	3	600	206	190	36	92	Spotlight
5	1	1	1	3	4	804	206	120	36	91	search
2	1	2	0	0	0	56	270	240	40	-1	
3	1	2	1	0	0	56	270	240	40	-1	
4	1	2	1	1	0	56	270	240	40	-1	
5	1	2	1	1	1	56	270	240	40	0	Ctrl+Alt+T
